t,Yar,Yar+,Yar*,Ye-,Nar+,Nar*,Te,ydot0,ydot1,ydot2,term4,qu,hu
0.0001110000,0.9979048353,0.0020941702,0.0000009658,0.0000000288,336339585307900672.0000000000,155115343519468.7500000000,23238.6651702786,-23.0902945423,-0.0003025258,-80.5194069297,23.8490950899,4,0.0000008406
0.0001120000,0.9979469052,0.0020521013,0.0000009653,0.0000000282,329596846481522688.0000000000,155033610993615.0000000000,22481.5460484303,-23.1622988715,-0.0003023537,-69.9053459883,17.0712168955,4,0.0000009760
0.0001130000,0.9979694740,0.0020295332,0.0000009650,0.0000000279,325979426644283648.0000000000,154989712017378.6250000000,22126.3699595722,-23.0767366587,-0.0003022612,-65.4797174424,14.4631572098,4,0.0000009760
0.0001140000,0.9979919472,0.0020070606,0.0000009647,0.0000000276,322377153062707648.0000000000,154945810781838.3125000000,21800.5022116655,-22.9352315121,-0.0003021688,-61.6933966221,12.3551833495,4,0.0000009760
0.0001150000,0.9980142534,0.0019847550,0.0000009644,0.0000000273,318801492214907392.0000000000,154901896239025.8750000000,21496.9450909794,-22.7543479317,-0.0003020765,-58.3893345233,10.6178642378,4,0.0000009760
0.0001160000,0.9980363548,0.0019626541,0.0000009641,0.0000000270,315258490795051904.0000000000,154857962579560.9375000000,21212.1901972792,-22.5447129442,-0.0003019841,-55.4719424613,9.1707777635,4,0.0000009760
0.0001170000,0.9980582412,0.0019407683,0.0000009638,0.0000000267,311749809235485248.0000000000,154814008228567.1875000000,20944.4210497367,-22.3137920887,-0.0003018918,-52.8761162136,7.9582325160,4,0.0000009760
0.0001180000,0.9980799034,0.0019191068,0.0000009635,0.0000000264,308276931915778560.0000000000,154770031782732.4375000000,20691.9598414814,-22.0673366352,-0.0003017995,-50.5493687192,6.9361955457,4,0.0000009760
0.0001190000,0.9980889080,0.0019101024,0.0000009634,0.0000000262,306833263592832832.0000000000,154751596722521.8437500000,20590.0168972384,-21.9605755813,-0.0003017609,-49.6418514464,6.5548315300,4,0.0000004090
0.0001200000,0.9981081794,0.0018908315,0.0000009631,0.0000000260,303743489496327296.0000000000,154711811831461.3750000000,20408.2541018308,-21.7275921271,-0.0003016775,2951.9051936582,5.9082038763,4,0.0000000022
0.0001210000,0.9980524768,0.0019465337,0.0000009628,0.0000000267,312674109945167872.0000000000,154654825494172.5312500000,42332.4963609820,195.0306952788,-0.0003015832,1379.5904586778,1490.6983673071,4,0.0000000741
0.0001220000,0.9977860720,0.0022129351,0.0000009625,0.0000000304,355372012947856832.0000000000,154565307279436.7187500000,44597.0665910960,297.6256629517,-0.0003014887,-2355.6422973672,2196.2918541796,4,0.0000000006
0.0001230000,0.9976698404,0.0023291654,0.0000009622,0.0000000320,373993900112111936.0000000000,154494759971700.1875000000,33128.5843576202,30.3354906843,-0.0003013861,-536.7967831384,429.4375401327,5,0.0000001221
0.0001240000,0.9976587901,0.0023402159,0.0000009619,0.0000000321,375764125242859200.0000000000,154445810524267.9687500000,29876.9986163797,-1.4321972166,-0.0003012939,-304.0277203974,211.6545689089,5,0.0000001221
0.0001250000,0.9976675480,0.0023314584,0.0000009616,0.0000000320,374361223272872320.0000000000,154396101015525.9062500000,27884.7235673082,-13.3628723957,-0.0003011943,-208.5296402754,125.5601022990,4,0.0000002111
0.0001260000,0.9976899574,0.0023090497,0.0000009612,0.0000000317,370771361367212416.0000000000,154335429121218.6875000000,26264.1111822024,-19.5478670844,-0.0003010692,-152.0783832426,76.9726360150,5,0.0000004817
0.0001270000,0.9977099990,0.0022890087,0.0000009609,0.0000000314,367560665962530880.0000000000,154291949017980.0625000000,25405.6370978874,-21.7140120583,-0.0003009784,-128.5636096556,57.7350159856,5,0.0000004817
0.0001280000,0.9977315540,0.0022674543,0.0000009606,0.0000000311,364107369589806080.0000000000,154248714138567.8125000000,24698.1031357649,-22.9868583386,-0.0003008876,-112.0376928122,44.7908787895,5,0.0000004817
